﻿id,parent,title,status,notes
O1,,agentmain.run() turn_resps 槽位防御 + 契约注释(agent_loop yield_info 双向标注),done,run() 自动开槽兜底 + 双向契约注释; 新单测 test_text_without_turn_event_auto_slots (2b09ce0c)
O2,,abort() should_stop 幽灵 lambda 清理符实化(run finally 置 None + 修正注释),done,_backend_sessions() 提取共用; run finally 显式置 None; 新单测 test_run_finally_clears_abort_should_stop (2b09ce0c)
O3,,agentmain 函数内 import socket 提模块顶部,done,顶部 import socket (2b09ce0c)
O4,,trim_messages_history 单行复合语句重构(保持 O(n)),done,成本数组+索引推进多行化; 新增 test_llmcore_trim.py 单行版参考 5 场景 diff 全等 (e1562603)
O5,,all_outputs 按来源过滤(IM 渠道跳过),done,"IM_CHAT_SOURCES 黑名单(2026-08-26 复审勘误: 原调查""继承未覆写""错误——qq/dingtalk/wecom/discord/feishu 全覆写 source; 全集=根前端{wechat,tg=telegram,qq,dingtalk,wecom,discord,feishu} + chat 兜底 +平台 worker source=ChannelType; web 保留); 交互 source 照记; 测试矩阵断言 display 事件 outputs"
O6,,agentmain.put_task shutdown 检查加契约注释,done,注释已补落地(原标记 done 但代码缺失, 2b09ce0c 一并补上)
O7,,测试 _minimal_agent 工厂化(tests 共享 fixture),done,tests/conftest.py make_minimal_agent 覆盖 __init__ 全字段 + minimal_agent fixture; 两测试文件已复用 (e1562603)
O8,,llmcore STATS 全局 dict -> session 实例属性,backlog,评估后保持: STATS 仅 stapp 显示用无正确性影响; 改 4 parse 函数签名+7 写入+stapp 读取, 收益低; 如需求作为独立 feature 实施
O9,,退避/重试魔法数字命名常量(llmcore),done,模块级常量 11 个提取; 6 处替换行为不变 (ee6e9f08)
O10,,runtime_data 历史 overlay 清理(保留最近 N),backlog,评估后保持: 生产 tmpfs 无残留; loopback overlay 内 memory/temp 是实际数据, 无 lease 机制误删风险; 收益低(开发机 24MB)
O11,,memory.md 更新(合入闭环),done,2026-08-26 已更新
