id,status,description,notes
1,DONE,D1 去掉工具策略分级: router 固定全能力, 停用 tool_policies CRUD/分配 API, 更新测试, 0046 迁移, openapi 同步
2,DONE,D1 文档同步: 0004/0005 迁移注释已标注废弃, openapi 已移除已停用接口 (docs/README 待最终确认)
3,DONE,D3 用户生命周期: block 撤销会话+login/ValidateSession 拒绝 blocked, 含单测+store 测试
4,DONE,F1 凭据失败路径: 新增 ExpireRunnerLease 接口(保留容器引用), scheduler 初始化失败改用它
5,DONE,F3 lease 时钟统一: expires_at 由 DB now()+interval 计算, 过期判定/列表/计数均用 DB 时钟
6,DONE,F2 delivery fencing: attempt_token 生成+条件更新, 含 fencing 测试; 修复 0046/0047 marker 缺失
7,DONE,D4 运行上限原子化: ClaimNextTask 事务内 advisory lock+计数, 含并发测试
8,DONE,D2 成功路径销毁时序: sessionDraining 标记阻止 claim 窗口, 含测试
9,DONE,D5+F4 根 Python: LLM_FAILED 结构化终态 + llmclient None 显式错误, worker 已正确映射
10,DONE,F5 Web: Dashboard 用 AuthContext 状态, AuthProvider 保留 userId/status, lint+build 通过
11,DONE,F6 SUBTASKS.csv 修复: 从 HEAD 恢复误删 5 行, 25 行×9 列规范化, 修正 21/22/23 依赖链
12,DONE,F7 契约测试升级: 路由清单 vs OpenAPI 自动比对+已知缺口清单, 正向验证拦截有效
13,DONE,验证: Go 18 包全绿(隔离库)+vet+build, Python 5+42+16+109, 集成 6, web lint+build
14,DONE,CreateUser scan bug 修复+测试; memory.md/tools 更新+归档; 隔离库已清理
15,DONE,"P2-1 workspace hash 收敛(B1): domain.WorkspaceDirHash 唯一实现, 删 sandbox/profile 重复版+checkpoint/workspaceHashFor+application/sessionKeyDigest 与隐藏第5处 scheduler configDirFor; SandboxRoot 接口改返回 error; lockFor 直用 sessionKey; 含 4 个 sandbox 测试文件+5 个 application 测试文件同步",Go 全量 18 包全绿(真实 Postgres)+vet+build
16,DONE,"P2-5 活跃 claim SQL 谓词收敛(C1): postgres/task_helpers.go 定义 activeTaskStatusesSQL(domain 状态常量拼接)+activeClaimLeaseSQL, 18 处字面量替换; runner_leases 有 status 列故多表查询保留别名前缀",postgres 包测试全绿(真实 Postgres)
17,DONE,"P2-2 ctrl: 控制 JTI 约定写进 worker.proto(A3): TaskEnvelope.capability_jti 完整约定(ctrl: 前缀/控制用途/ExecuteTask 不对称有意), BeginCheckpoint/CancelTask/Shutdown 三处引用; 统一 managed_agent.py 注释(去'复用 Runner'过时表述)+scheduler_dispatch.go 加契约引用; 重新生成 Go/Python 绑定",契约测试 22 passed + go build/vet
18,DONE,"P2-3 配额命名统一 per-requester(B2): PerTenantRunningLimit→PerRequesterRunningLimit, perUserRunningLimit→perRequesterRunningLimit, flag/env PER_REQUESTER_RUNNING_LIMIT, JSON per_requester_running_limit; compose 双 env 模板+web stats.ts/AdminDashboardPage 同步",go build/vet+api/application 测试+web tsc/lint/build
19,DONE,"P2-4 决策编号统一(B7): 代码注释 D2.1→D1(8 处, 与 GA_SANDBOX_RUNNER_REFACTOR 文档真值一致)",go vet
20,DONE,"P2-6 tools_schema_cn.json 去留(G1): 实证两文件 9 工具描述全不同且 GA 只加载 tools_schema.json; runtime_overlay LEGACY_ASSETS 删 cn 副本+4 个 worker 测试同步; GA 根资产不动",worker-python 109 passed
