id,goal,task_type,depends_on,task_dir,status,validation,completed_at,notes
1,域模型与 schema:渠道绑定 canonical_user_id、workspace_key/runner_key、持久 Runner lease(generation fencing)、全局容量排队、state staging/commit 契约、串行调度迁移,durable,,tasks/01-domain-schema,DONE,go test ./... -race 通过 + 新 migration 在清库后应用 + 契约测试,2025-08-01,完成: 0036 渠道绑定+0037 runner lease 迁移;workspace/runner key 派生;lease store(generation fencing);容量排队+串行契约测试;清库脚本
2,ga-runner 镜像:固定 digest 镜像包含 GA 代码/assets/worker-python 与上游 9355c22d7 已跟踪 memory-template 只读层,durable,1,tasks/02-runner-image,DONE,镜像可构建;memory-template 与 git ls-tree 9355c22d7 一致;容器以非 root 只读根启动,2025-08-01,ga-runner 镜像构建成功 sha256:41eea5;memory-template 42 文件与上游 9355c22d7 一致;冒烟通过(非root 10002/只读根/模板只读);.env 已加 GA_RUNNER_*
3,Sandbox Manager:固定 profile 创建/检查/销毁 Runner,仅挂载当前工作区 memory/temp/state subpath,创建后 docker inspect 校验,首次创建从 memory-template 初始化,idle 回收与孤儿清理,durable,2,tasks/03-sandbox-manager,DONE,单元测试 + docker inspect 校验通过 + 回收/孤儿清理测试 + 首次初始化与基线一致,2025-08-01,sandbox 包: profile 固定校验+workspace 预置+memory-template 初始化+CLI 白名单+inspect 校验+Manager 生命周期;Docker 冒烟全过(挂载/隔离/写穿/销毁保留);race 通过
4,SandboxWorkerRuntime + mTLS control plane:替换 Loopback 为生产 Runtime;Runner 短期服务证书(经 Manager 受控 identity 注入)/Platform 客户端身份;generation fencing;per-task capability 签发/撤销;llm-proxy 接入 runner-control 网络,durable,3,tasks/04-worker-runtime-mtls,DONE,go test -race + mTLS 拒绝不匹配 generation/身份测试 + llm-proxy 网络校验,2025-08-01,mTLS CA/证书链路+Python 服务端+generation 校验+SandboxWorkerRuntime+per-task capability 完成;行6/7 compose 接线延后至任务8
5,workspace subpath 挂载 + staging state:Runner 直接读写 memory/temp;Worker adapter 仅成功 task 写 token-scoped staging state;Platform 校验 token/generation/checksum 后同事务提交恢复指针,durable,4,tasks/05-workspace-mount-staging,DONE,杀死 Runner 重建后恢复最近成功 state 测试;staging 失败不成为恢复点测试,2025-08-01,overlay memory/temp symlink 到挂载工作区(GA_WORKSPACE_MEMORY/TEMP),写穿验证;staging 原子写+Platform 校验已有;Python 93 passed
6,附件/输出统一 workspace temp/ + 安全交付:Platform 交付 outputs/ 普通文件;拒绝符号链接/设备/管道/越界/超大/替换文件,durable,5,tasks/06-delivery-safety,DONE,交付安全测试全套通过(符号链接/逃逸/替换),2025-08-01,交付安全: validateDeliverable Lstat 拒绝链接/目录/越界/超大;ResolveMarker/RecordOutbound 改 Lstat;附件/输出统一 GA_WORKSPACE_TEMP;Python 93 passed
7,Sophub proxy + 用户 memory/sops/:删除全局 SOP Registry/候选审核/task 注入;Runner 经 Platform proxy 下载 SOP 写工作区 memory/sops/,不覆盖已修改 SOP,durable,5,tasks/07-sophub-workspace,DONE,sophub 下载写工作区测试 + 0039 drop 后旧 registry 表不存在,2025-08-01,Worker sop_tool 写工作区 sops(不覆盖已修改);Platform /v1/worker/sophub proxy(capability);删除全局 Registry/候选/snapshot 注入与 sop_store/类型;0039 drop 5 表;全量 go test -p 1 绿
8,删除 document 系统 + 禁用浏览器 + Compose 收尾:删除 document gateway/manager/job pool/artifacts/DOCX 镜像/0031-0034 表;禁用宿主浏览器入口;compose 更新为 postgres/platform/bot-poller/web/sandbox-manager/llm-proxy,durable,6;7,tasks/08-removal-compose,DONE,删除后 go test 全绿 + compose 冒烟 up -d --build 六服务健康 + 浏览器工具不可用,2025-08-01,document 系统整体删除(54 文件);0031-0034 migration 删除;GA_DISABLE_HOST_BROWSER 禁用浏览器;compose 六服务重写+llm-proxy/sandbox-manager 新 Dockerfile;README 更新;全部验证通过
9,审查发现修复:启动链(inspect 排序/--listen/config 注入/checkpoint 路径映射/共享卷权限),durable,8,tasks/09-review-fixes,DONE,Go 非 DB 测试 + race + Python 73 + 契约/安全 39 + web build 全绿; DB 测试待 TEST_DATABASE_URL,2026-08-02,启动链修复: inspect 挂载排序/--listen 覆盖 CMD/运行时配置注入容器/checkpoint 宿主↔容器路径映射/共享卷 setgid 10003 权限+session_files 预置
10,审查发现修复:fencing 与容量(lease 续租/generation 校验/容量计数+原子/Manager 控制面 nonce+destroy 校验/路径隔离),durable,9,tasks/09-review-fixes,DONE,Go 非 DB 测试 + race + Python 73 + 契约/安全 39 + web build 全绿; DB 测试待 TEST_DATABASE_URL,2026-08-02,fencing 加固: lease 续租 goroutine/容量=活跃 lease+advisory lock/Attach 带 generation/Worker generation+jti 校验/Manager nonce 一次性+destroy 校验+generation 回退拒绝/safefs openat 路径隔离
11,审查发现修复:部署与 API(SOP Registry 前端移除/sophub 过滤/交付文件名/digest 校验/compose 构建/memory-template 入库),durable,9,tasks/09-review-fixes,DONE,Go 非 DB 测试 + race + Python 73 + 契约/安全 39 + web build 全绿; DB 测试待 TEST_DATABASE_URL,2026-08-02,部署与 API: memory-template 入库+compose build 服务/SOP Registry 前端+OpenAPI 移除/sophub 私有过滤+task 绑定/delivery 保留文件名/digest 校验/0039 migration 修复/channel 自动绑定/冒烟脚本修正
12,审查发现修复第二轮:12 项问题(6C/5I/1M)——Linux 构建/llm-proxy compose/容量 queued/Runner 复用 credential 卷/共享卷权限/重启恢复/checkpoint 绑定/终态撤销/inspect/reset 清理/manager env,durable,11,tasks/12-review-round2,IN_PROGRESS,Linux cross-build + go vet + race + Python 109 + 契约安全 16 + compose config 全绿; DB 测试待 TEST_DATABASE_URL,,12/12 DONE + 独立审查 7 findings 修复: CompleteSucceeded $1 占位符/GetRunnerLease 补列/Prepare+Complete loopback 跳过 lease 校验/volume inspect 卷根匹配(bind 精确)/刷新配置 0640+0770(组可读)/safefs symlink 测试修复/maxActiveRunners 非法拒绝/renew 过期拒绝
13,审查发现修复第三轮:16 项(1C/15I)——checkpoint 死锁/task+lease fencing/权限链+symlink/Worker fence/撤销时机/lease 释放与接管/overlay 校验/附件布局+项目模式/sophub reload/控制 RPC+claims/容器身份回收/inspect 精确/attachments 挂载/资源限制/Sophub+OpenAPI,durable,12,tasks/13-review-round3,DONE,Go 非 DB 测试 + race + vet + GOOS=linux build + Python 87 全绿 + compose config 全绿; DB 测试待 TEST_DATABASE_URL,2026-08-03,15/15 完成: checkpoint 死锁(Locked 变体)/task+lease fencing(claim 未过期+owner+expiry FOR UPDATE)/权限链+symlink 加固/Worker fence 补全/撤销时机+重试/lease 失败释放+陈旧 owner 接管/overlay digest 校验/附件布局统一 temp+项目模式/sophub reload 刷新/compose 默认地址/控制 RPC 身份+operation+budget claims/ContainerID attach+sweep 只清僵尸/inspect GroupAdd+tmpfs 精确+测试深拷贝/移除 attachments 挂载/ReadResult 限长+fd 泄漏/搜索过滤+未绑定 200+OpenAPI 孤儿清理+worker 端点; 独立 review 后修复: C1 defer 闭包捕获撤销集(回归测试 buggy→FAIL/fixed→PASS 闭环)/I1 ensureDirPathNoSymlink 只扫 root 之下/I2 safefs root O_NOFOLLOW/I3 sophub 默认端口改 8080/I4 复用路径 generation 校验/I5 absTTL 文本/M2 rmtree 跳过 symlink/M5 CancelTask 检查 accepted
14,审查发现修复第四轮:16 项(4C/9I/3M)——重复派发 gate/dispatch 终态化/JTI 原子+终态撤销/manifest 限长/attach fail-closed/checkpoint 限长/RecordOutbound 顺序/reset 语义/budget 计量/runsc fail-closed/Worker 启动竞态+测试失败/checkpoint 清理/overlay tmpfs/bundle 身份校验/Sophub 导航/OpenAPI 孤儿,durable,13,tasks/14-review-round4,DONE,Go 全量测试+race(-p 1)+DB 全绿; worker-python 90 passed; 契约安全 21 passed; web build OK; compose config OK,2026-08-04,14/14 完成: Web/OpenAPI 导航+孤儿删除/loadManifest 限长+RecordOutbound 顺序/Worker 启动竞态+fencing 顺序/checkpoint 限长(proto+max_bundle_bytes 端到端)/bundle 身份校验/attach fail-closed/budget 计量(migration 0043+JTI 计数)/runsc fail-closed/overlay tmpfs/dispatch in-flight gate/dispatch 裸 return 统一 evict+终态/JTI 终态事务内撤销+持久化 fail-closed/reset_at 保留到 fresh 成功+queued 取消/checkpoint sweep(tick 5min)
15,审查发现修复第五轮: 2C/8I/2M——Compose 双 listener(R5-C1)/CompleteFailedTerminal claim fencing(R5-C2)/pendingRefresh 跨任务(I3)/RemoveMember 未派发终态化(I4)/交付聚合限额(I5)/容器身份 fencing(I6)/创建失败清理+running 复用(I7)/控制 RPC capability(I8)/发送前成员复查(I9)/显式文件名(I10)/负整数(M2)/task_started 取消(M2),durable,14,tasks/15-fix-review-findings,IN_PROGRESS,Go 全量 + race + DB 全绿; worker-python 125 passed; bot_poller 13 passed; 契约安全 13 passed; compose config OK; GOOS=linux build OK; git diff --check OK,,
