id,goal,depends_on,status,validation,completed_at,notes
1,Web/OpenAPI:AdminLayout 恢复 sops 导航项;platform.yaml 删除 DocumentOperation/DocumentCommandState/SophubRemoteSOP 孤儿 schema,,DONE,web build 通过(npm run build),
2,session_files:loadManifest 限长(文件大小/条目数/字段);RecordOutbound 先校验 outputs/ 目录再查 manifest,,DONE,go test internal/application 相关测试通过(DB 测试需 TEST_DATABASE_URL 属既有限制),
3,Python worker:session_lifecycle 启动竞态修复(线程错误回传,失败不报 ready);test_execute_task_rejects_zero_generation 恢复 RUNNER_GENERATION_MISMATCH,,DONE,worker-python tests/unit 87 passed,
4,Python checkpoint:load_snapshot_bundle 按 max_bundle_bytes 限长读取后再校验 checksum,,DONE,worker-python 88 passed + go vet 通过(含 proto 重新生成),
5,checkpoint bundle 身份校验:session_key 缺失拒绝;bundle runner_generation 与 snapshot generation 比对,,DONE,go test validateBundleIdentity 5/5 通过 + LocalCoordinator 同步,
6,sandbox attach fail-closed:AttachRunnerContainer 失败时销毁容器并释放 lease,不继续执行,,DONE,TestStartFailClosedWhenAttachFails 通过,
7,llmproxy budget 计量:按 task/JTI 计量 LLM 调用并拒绝超额,,DONE,llmproxy 全测试通过 + migration 0043 + store 方法 + RevokeCapability 联动清理,
8,部署 fail-closed:GA_RUNNER_SECURITY_PROFILE 未设置时拒绝启动(或强制 runsc);显式 trusted 开关才允许 runc,,DONE,sandbox 测试全过 + compose config OK + .env.example/README 更新,
9,overlay 不可变:overlay 移出持久 state(容器 tmpfs),每次会话启动强制 digest 校验,,DONE,sandbox 测试全过 + worker-python 88 passed + overlay_root 测试,
10,scheduler 重复派发 gate:dispatch in-flight 内存 gate,tick 不再重复派发,,DONE,gate 已加(dispatch 入口 LoadOrStore+defer Delete),
11,dispatch 退出统一终态:所有 return 路径统一终态化+Worker fence,,DONE,MarkDispatchStarted/MarkRunning/GetTask 失败路径 evict+finalize,
12,JTI 原子持久化+终态撤销:签发写入与任务状态事务合并;终态事务内撤销 JTI,,DONE,finalizeTerminal+CompleteSucceeded 事务内撤销;SetTaskCapabilityJTIs 失败 fail-closed,
13,/new reset 语义:reset_at 绑定 fresh task 生命周期;失败终态保留 reset;queued 任务取消,,DONE,ResetWorkspaceForNewSession + CompleteSucceeded fresh 成功清除 reset_at + 测试 fake 更新,
14,失败 checkpoint 清理:任务终态时清理 writing snapshot/staging 文件(quarantine+sweep),,DONE,SweepExpiredCheckpoints 接入 tick(5min 节流)+Coordinator 接口+fake 更新,
