id,goal,boundary,related_files,sync_targets,depends_on,status,validation,completed_at,notes
1,Linux 构建门修复:safefs_unix.go:116 重复 := 改 =;deliverable_snapshot_unix.go 补 path/filepath import,只改这两个文件;不动逻辑,internal/infrastructure/safefs/safefs_unix.go;internal/application/deliverable_snapshot_unix.go,symbol:OpenBeneath;symbol:snapshotFile;build:GOOS=linux GOARCH=amd64,,DONE,GOOS=linux GOARCH=amd64 go test -exec=true ./internal/application ./internal/infrastructure/safefs ./internal/infrastructure/sandbox ./internal/infrastructure/checkpoint ./internal/infrastructure/worker,2026-08-02,"C1 修复:safefs_unix.go := 改 =,deliverable_snapshot_unix.go 补 filepath import;GOOS=linux build ./... exit=0"
2,共享卷权限闭环:Runner 容器加 --group-add ShareGID;平台写附件/committed 前置初始化 SandboxRoot;验证 Platform 与 Runner 共享组可互读,只改 docker_cli.go 创建参数、session_files/checkpoint 写路径、workspace 初始化;不引入新卷,internal/infrastructure/sandbox/docker_cli.go;internal/application/session_files.go;internal/infrastructure/sandbox/workspace.go;internal/infrastructure/checkpoint/workspace.go,config:compose group_add;symbol:CreateAndStart;symbol:ImportInbound;symbol:prepareWorkspaceDirs,1,DONE,新增 docker_cli_test 断言 --group-add 10003 + session_files_test 附件前置用例;go test -run '^$' ./internal/infrastructure/sandbox ./internal/application;go vet,2026-08-02,C5 修复: --group-add ShareGID;Manager 新增 POST /v1/workspaces/ensure 控制面 + DockerCLI.EnsureWorkspace 预置布局;session_files ImportInbound 前置 ensure;新测试 3 个全绿
3,容量调度不变量:MaxRunningTasks(任务并发)与 RunnerCapacity(活跃 lease)分离;已有 lease 的 runner_key 不占新容量;capacity/foreign-owner 结果保持 queued 不终态化;claim+lease 原子/可回滚,只改 scheduler.go/scheduler_dispatch.go/runner_lease_store.go 容量路径;不改任务状态机其他分支,internal/application/scheduler.go;internal/application/scheduler_dispatch.go;internal/infrastructure/postgres/runner_lease_store.go,symbol:tick;symbol:dispatch;symbol:AcquireRunnerLease;symbol:CountActiveRunnerLeases;test:scheduler_test.go 容量用例,1,DONE,新增 scheduler_test 非DB容量用例(假 RunnerCapacity/假 lease store):已复用 runner_key 不占新容量、capacity error 回退 queued 不终态化;go test -run '^$' ./internal/application;go vet,2026-08-02,C3 修复: tick 容量门改回 CountRunningTasks(删除 RunnerCapacity 接口);TaskStore.RequeueTask 新增(starting→queued 幂等);dispatch 识别 ErrRunnerLeaseCapacity/Owned 退回 queued 不终态化;3 新测试 PASS
4,Runner 复用 credential 刷新写 workspace config/:生产 runtime 以 workspace config/ 为目标的原子写入;credential generation 与 runner generation 分离;ReloadCredentials 读同一文件,只改 worker_credential.go/scheduler_worker.go/sandbox_runtime.go;Local runtime 保持原行为,internal/application/worker_credential.go;internal/application/scheduler_worker.go;internal/infrastructure/worker/sandbox_runtime.go,symbol:refreshWorkerCredentials;symbol:issueProviderCapabilitiesWithRuntime;symbol:BuildRuntimeConfig;symbol:ReloadCredentials,2,DONE,"worker_credential_test 新增复用刷新用例(非DB,用假 store);go test -run '^$' ./internal/application;go vet",2026-08-02,C4 修复: workerCredentialSet 拆 Generation(credential 版本)与 RunnerGeneration(lease);issueProviderCapabilitiesWithRuntime 双 generation 参数;refresh 保持 runner gen;SchedulerConfig.RuntimeConfigDir 生产指向 workspace config/(sandbox.WorkspaceDirHash+config);新增 2 测试 PASS
5,checkpoint 绑定 runner generation + bundle 校验:Prepare 传入 generation 存 snapshot 行;BeginCheckpointRequest 加 runner_generation;Commit 校验 bundle task_id/session_key 与 DB 一致;CompleteSucceeded 校验 lease 未过期,只改 coordinator/scheduler_checkpoint/workspace.go/checkpoint_store;proto 同步生成(先确认 protoc 版本与仓库一致),internal/infrastructure/checkpoint/coordinator.go;internal/application/scheduler_checkpoint.go;internal/infrastructure/checkpoint/workspace.go;contracts/proto/genericagent/worker/v1/worker.proto,schema:worker.proto BeginCheckpointRequest;symbol:PrepareCheckpoint;symbol:CompleteSucceeded;test:checkpoint/local_test.go,4,DONE,确认 contracts/proto/generate_bindings.py 可运行后重生成;go test -run '^$' ./internal/infrastructure/checkpoint ./internal/application;go test ./internal/infrastructure/checkpoint -run 'TestLocalCoordinator' 跳过 DB 的用例名除外;python pytest test_worker_rpc,2026-08-02,I7 修复: 迁移 0040 加 workspace_snapshots.runner_generation;proto BeginCheckpointRequest/CheckpointReady 加 runner_generation(重生成 bindings);Prepare/Commit/CompleteSucceeded 全链路 generation 校验;bundle task_id/session_key 校验;Worker begin_checkpoint generation 校验;Python 39 passed
6,checkpoint 限长流式读取 + rename 后 fsync 父目录:safefs.ReadFileBeneath 加限长或流式;AtomicWriteBeneath rename 后 fsync dir;worker checkpoint.py 目录 fsync 不静默吞错(Linux),只改 safefs 读写原语与调用方;Windows 分支同步,internal/infrastructure/safefs/safefs_unix.go;internal/infrastructure/safefs/safefs_windows.go;internal/infrastructure/checkpoint/workspace.go;worker-python/src/ga_worker/checkpoint.py,symbol:ReadFileBeneath;symbol:AtomicWriteBeneath;symbol:write_checkpoint_atomic,5,DONE,safefs_unix_test 新增限长/目录 fsync 用例;go test -run '^$' ./internal/infrastructure/safefs ./internal/infrastructure/checkpoint + pytest test_worker_rpc,2026-08-02,I8 修复: safefs.ReadFileBeneathLimited(fstat 先验 size 再读);AtomicWriteBeneath rename 后 fsync 父目录;workspace.go Commit 用限长读;Python write_checkpoint_atomic Linux 目录 fsync 失败不再静默;新测试 1 个 PASS
7,终态立即撤销 credential + Sophub task/generation 校验:成功/失败/取消/超时终态后撤销全部 JTI;SophubValidator 要求 task_id/generation 并对照 active grant,只改 scheduler 终态路径与 token.go/Sophub validator;LLM validator 已有 task 绑定保持,internal/application/scheduler_dispatch.go;internal/application/scheduler_checkpoint.go;internal/infrastructure/llmproxy/token.go;internal/api/worker_sophub_proxy.go,symbol:completeSuccess;symbol:finalizeOrFail;symbol:SophubValidator.Validate;test:worker_sophub_proxy_test.go,4,DONE,新增终态撤销用例(假 revoker store);go test -run '^$' ./internal/application ./internal/api;go test ./internal/infrastructure/llmproxy;go test ./internal/api -run TestWorkerSophub;pytest test_worker_rpc,2026-08-02,I9 修复: dispatch defer 终态撤销(revokeSessionCredentialsIfTerminal 查任务终态);SophubValidator 要求 task_id+runner_generation;新增 2 测试 PASS
8,Platform 重启 reconcile + lease generation fencing:启动时扫描过期 lease 并清理容器/释放;接管保留旧 container_id;renew/release 带 generation 条件;新 CA 下旧容器销毁重建,只改 main.go/runner_lease_store.go/sandbox_runtime.go;不引入持久 CA,cmd/platform/main.go;internal/infrastructure/postgres/runner_lease_store.go;internal/infrastructure/worker/sandbox_runtime.go,symbol:runRunnerLeaseReaper;symbol:RenewRunnerLease;symbol:ReleaseRunnerLease;symbol:AcquireRunnerLease,3,DONE,go test -run '^$' ./internal/infrastructure/postgres;go vet ./internal/infrastructure/postgres ./cmd/platform;GOOS=linux cross-build 全量,2026-08-02,C6 修复: runner_leases 加 stale_container_id(迁移 0041);接管保留旧容器 ID;Renew/Release 带 generation 条件;reaper 清理所有过期 lease 容器(不限 owner)+启动立即 reconcile;SandboxRuntime 接管销毁 stale 容器;vet+linux build 绿
9,llm-proxy compose 接线:LLM_PROVIDER_KEY 注入;监听地址与 loopback 校验一致;受控 egress 网络/策略,只改 compose.yaml/.env.example/llm-proxy.Dockerfile/main.go listen 默认;不引入公网依赖,infra/compose/compose.yaml;infra/compose/.env.example;backend-go/cmd/llm-proxy/main.go,config:LLM_PROVIDER_KEY;config:LLM_PROXY_LISTEN;config:egress 网络,,DONE,docker compose config + go build ./cmd/llm-proxy + 契约测试,2026-08-02,C2 修复: Config.Validate 允许显式容器监听(0.0.0.0)仍拒非法;compose 注入 LLM_PROVIDER_KEY+egress allowlist;新增 llm-egress 网络(仅 proxy 接入);.env.example 补齐;契约测试更新 16 passed
10,reset-dev.sh 卷名 + ResetSchema 补齐:脚本删显式名 runner_workspaces;foundationTableNames 加 channel_bindings/runner_leases 及 marker,只改脚本与 migrations.go 列表;不动迁移 SQL,infra/compose/reset-dev.sh;internal/infrastructure/postgres/migrations.go,config:runner_workspaces;symbol:foundationTableNames,,DONE,bash -n reset-dev.sh + go test -run '^$' ./internal/infrastructure/postgres + 契约测试,2026-08-02,I11 修复: reset-dev.sh runner_workspaces 卷名特殊处理(显式 name 无前缀);foundationTableNames 加 channel_bindings/runner_leases + 0036-0041 markers;bash -n + build + 契约 16 passed
