id,goal,boundary,related_files,sync_targets,depends_on,status,validation,completed_at,notes,
1,checkpoint 死锁:completeSuccess 持锁调用 evictWorkerAfterFailure 自死锁,改 Locked 变体,只改 scheduler_checkpoint.go + scheduler_worker.go 锁调用面,internal/application/scheduler_checkpoint.go;internal/application/scheduler_worker.go,symbol:evictWorkerAfterFailure;symbol:completeSuccess,DONE,TODO,2026-08-03,; 验证: 非DB测试+race+vet+Linux build+Python 87 全绿,['错误分支 8 处替换为 Locked 版本']
2,checkpoint/task lease fencing:Prepare/CompleteSucceeded 校验 claim_lease_until 与 runner lease owner/expiry(FOR UPDATE);HeartbeatClaim 拒绝续已过期 claim,只改 checkpoint_store.go + task_lifecycle.go 的 SQL 与检查,internal/infrastructure/postgres/checkpoint_store.go;internal/infrastructure/postgres/task_lifecycle.go,schema:runner_leases;symbol:HeartbeatClaim,,DONE,TODO,2026-08-03,; 验证: 非DB测试+race+vet+Linux build+Python 87 全绿,['loopback 无 lease 行时保持跳过']
3,工作区目录权限链 + symlink 加固:dirsToCreate 祖先链全部 chown/chmod 共享组;MkdirAll/Chown 前 Lstat 拒绝或替换符号链接;safefs root 打开加 O_NOFOLLOW,只改 sandbox/workspace.go + safefs 包,internal/infrastructure/sandbox/workspace.go;internal/infrastructure/safefs/safefs_unix.go;internal/infrastructure/safefs/safefs_windows.go,symbol:prepareWorkspaceDirs;symbol:openDirBeneath,,DONE,TODO,2026-08-03,; 验证: 非DB测试+race+vet+Linux build+Python 87 全绿,['含目录祖先链收集与 symlink 替换测试']
4,Worker fence 补全:idle reap/claim lease 丢失/cancel-after-dispatch 路径 finalize 前 evict Worker,只改 scheduler_reaper.go + scheduler.go + scheduler_dispatch.go,internal/application/scheduler_reaper.go;internal/application/scheduler.go;internal/application/scheduler_dispatch.go,symbol:reapIdleTasks;symbol:HeartbeatClaim;symbol:dispatch,,DONE,TODO,2026-08-03,; 验证: 非DB测试+race+vet+Linux build+Python 87 全绿,['tick ErrLeaseExpired 分支与 reap 后 evict;dispatch cancel 分支 evict']
5,credential 撤销时机:ensureWorker 成功后立即捕获 taskCredentialSet;撤销失败入 pendingRevocations 重试,只改 scheduler_dispatch.go + worker_credential.go 调用面,internal/application/scheduler_dispatch.go;internal/application/worker_credential.go,symbol:revokeSessionCredentialsIfTerminal;symbol:pendingRevocations,,DONE,TODO,2026-08-03,; 验证: 非DB测试+race+vet+Linux build+Python 87 全绿,['早期终态(StartSession/Policy 失败)不再撤销空集']
6,Runner lease:initializeWorkerEntry 失败释放 lease;AcquireRunnerLease 活跃异主且 owner 无活跃 task claim 时接管(generation+1),只改 scheduler_worker.go + runner_lease_store.go,internal/application/scheduler_worker.go;internal/infrastructure/postgres/runner_lease_store.go,symbol:initializeWorkerEntry;symbol:AcquireRunnerLease;symbol:ReleaseRunnerLease,,DONE,TODO,2026-08-03,; 验证: 非DB测试+race+vet+Linux build+Python 87 全绿,['接管分支复用过期接管逻辑(container_id→stale)']
7,overlay 内容校验:复用路径校验 sha256+镜像指纹,不匹配删除重建,只改 runtime_overlay.py,worker-python/src/ga_worker/runtime_overlay.py,symbol:materialize_runtime_overlay,DONE,6,2026-08-03,python -m pytest tests/unit -q; 验证: 非DB测试+race+vet+Linux build+Python 87 全绿,"['', 'manifest 校验失败→rmtree 重建(不跟随 memory/temp symlink)']"
8,附件/输出布局统一 + 项目模式:session_files 根改工作区 temp/attachments+outputs;移除 cwd/_get_abs_path 重定向;LEGACY_PLUGINS 补 project_mode.py;import plugins.project_mode;项目激活态入 checkpoint working 并恢复,只改 worker-python session_files/legacy_instrument/runtime_overlay/legacy_import/task_ops + backend session_files.go + sandbox/workspace.go + 相关测试,worker-python/src/ga_worker/session_files.py;worker-python/src/ga_worker/legacy_instrument.py;worker-python/src/ga_worker/runtime_overlay.py;worker-python/src/ga_worker/legacy_import.py;worker-python/src/ga_worker/task_ops.py;backend-go/internal/application/session_files.go;backend-go/internal/infrastructure/sandbox/workspace.go,symbol:session_sandbox_root;symbol:install_session_file_sandbox;symbol:SandboxRoot;symbol:_extract_working,,DONE,TODO,2026-08-03,; 验证: 非DB测试+race+vet+Linux build+Python 87 全绿,['GA 原生 ./temp ../memory 语义恢复;Platform/Worker 附件路径一致']
9,SOPHub:reload_credentials 刷新 session.sophub_proxy 与 workspace_memory;compose GA_SOPHUB_PROXY_ADDR 默认 http://platform:8088,只改 managed_agent.py + compose.yaml + .env.example,worker-python/src/ga_worker/managed_agent.py;tenant_platform/infra/compose/compose.yaml;tenant_platform/infra/compose/.env.example,symbol:reload_credentials;config:GA_SOPHUB_PROXY_ADDR,,DONE,TODO,2026-08-03,; 验证: 非DB测试+race+vet+Linux build+Python 87 全绿,['复用 Runner 第二个 task 不再用旧 token']
10,控制 RPC fencing + capability claims:proto Reload/Cancel/Shutdown 加 workspace_key+runner_generation 并生成;adapter 校验;Platform 调用带参;token.go 加 operation/budget 并签发/校验,只改 worker.proto + 生成文件 + managed_agent.py + rpc_server.py + scheduler_worker.go + token.go + handler.go + worker_credential.go + sophub proxy,contracts/proto/genericagent/worker/v1/worker.proto;backend-go/internal/gen/worker/v1/;worker-python/src/genericagent/worker/v1/;backend-go/internal/infrastructure/llmproxy/token.go;backend-go/internal/infrastructure/llmproxy/handler.go,symbol:ReloadCredentials;symbol:CancelTask;symbol:Shutdown;symbol:CapabilityClaims,,DONE,TODO,2026-08-03,; 验证: 非DB测试+race+vet+Linux build+Python 87 全绿,['protoc 35.1 + protoc-gen-go 已在;生成产物必须提交']
